Feature,KS Statistic,P Value,PSI Score,Status
department,0.0780798873750268,4.077376689244112e-267,0.10869115530873939,Warning
role,0.0727647999236441,5.286421617413175e-232,0.16980934000604345,Warning
office_location,0.10780301764935135,0.0,0.09604452903390771,Stable
device,0.022073619827085667,1.0197722048143922e-21,0.011252396287962766,Stable
network_type,0.007579915213120514,0.006152450826179959,0.0002725723759521506,Stable
authentication,0.020528605629657914,7.668797059302594e-19,0.009460364898296597,Stable
event_type,0.012757800631526983,1.5393226789853556e-07,0.007976706892789391,Stable
application,0.021361760003817842,2.2889498665977113e-20,0.009680452237437302,Stable
resource,0.020126941707031887,3.965483207061393e-18,0.0054118430748639895,Stable
risk_baseline,0.06467385684856874,2.529143623901747e-183,0.03698465144290034,Stable
access_level,0.06347284195121178,1.375811943078528e-176,0.021390838801342096,Stable
country,3.976870521049577e-05,1.0,1.196218505266362e-05,Stable
city,1.5907482084243085e-05,1.0,0.0,Stable
hour,0.0056411908341088,0.0811453465624501,0.0004766520552701932,Stable
minute,0.0018054992165564832,0.9965749880328635,7.992900835708061e-05,Stable
second,0.003571229727902525,0.541519275261143,0.00019098553954528848,Stable
day,0.0028176127641635906,0.8183931093952312,0.00022332991394874354,Stable
weekday,0.002584965838682174,0.8890787163539514,9.839699859938414e-05,Stable
month,0.0005448312613837991,1.0,2.001874232924907e-06,Stable
quarter,0.0005448312613837991,1.0,2.001874232924907e-06,Stable
is_weekend,5.965305781563401e-06,1.0,0.0,Stable
business_hours,0.0008391196799414635,0.9999999999999871,6.5051192598302755e-06,Stable
time_since_last_event,0.020103080483905633,4.367597157524489e-18,0.0020360028370990098,Stable
event_number,0.006689096216405455,0.02210881315143635,0.0002736063481618365,Stable
session_duration,0.01971135873758223,2.097725755050238e-17,0.0035284790757705515,Stable
events_per_session,0.022652254487898316,7.543904502393433e-23,0.003669618812214518,Stable
login,0.0005368775203417053,1.0,0.0,Stable
login_failed,0.00041757140471021525,1.0,0.0,Stable
vpn_login,0.005804242525471848,0.06725250443267461,0.0,Stable
download,0.004422280019407143,0.278161208406032,0.0,Stable
upload,0.009204466820969315,0.0003957842404409958,0.0,Stable
database_query,0.0024736134640928054,0.9172231021949278,0.0,Stable
file_access,0.003235184168873917,0.6672037713399065,6.39302897985323e-05,Stable
admin_action,0.012093663254511777,8.100909914649569e-07,0.0,Stable
powershell_execution,0.014316733875778476,2.203046369328931e-09,0.0,Stable
login_count,0.0,1.0,0.0,Stable
login_failed_count,0.0021037645056352083,0.9788641904421013,0.0,Stable
vpn_login_count,0.022127307579119848,8.03166474180478e-22,0.0024612004023873784,Stable
download_count,0.022017943639790927,1.305495171175222e-21,0.003907325237007204,Stable
upload_count,0.04695689867729291,8.384999358994014e-97,0.01271177794600226,Stable
database_query_count,0.030172516643203084,3.288341609692028e-40,0.004649858535823862,Stable
file_access_count,0.02421516460267087,4.7497725344020057e-26,0.004626909429227015,Stable
admin_action_count,0.0489115305383887,5.359140807677011e-105,0.013961567723263643,Stable
powershell_execution_count,0.06294391817191214,1.1606637218956274e-173,0.052270316852514466,Stable
is_privileged_user,0.06421055143286647,1.038283229653587e-180,0.01990201049832517,Stable
is_admin,0.03418319056368169,1.7212639769684528e-51,0.004768389278763477,Stable
remote_access,0.006188010530753241,0.04232249665352594,0.0002725723759521506,Stable
high_risk_event,0.024354355070907552,2.4057280837730093e-26,0.004768264222603458,Stable
foreign_login,2.3861223126253606e-05,1.0,0.0,Stable
